Mon Nov 09 13:51:26.473772 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:51:26.473800 2020;10.81.162.115;PHP Notice:  Trying to get property 'num_rows' of non-object in /people/home/jwhiteley/public_html/searchResultPage.php on line 26, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:51:26.473831 2020;10.81.162.115;PHP Fatal error:  Uncaught Error: Call to a member function free_result() on bool in /people/home/jwhiteley/public_html/searchResultPage.php:52\nStack trace:\n#0 {main}\n  thrown in /people/home/jwhiteley/public_html/searchResultPage.php on line 52, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:51:34.839721 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php?active=2
Mon Nov 09 13:52:08.035671 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:53:00.237360 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:53:28.822355 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:53:30.719416 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:53:50.304115 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:53:50.304145 2020;10.81.162.115;PHP Notice:  Trying to get property 'num_rows' of non-object in /people/home/jwhiteley/public_html/searchResultPage.php on line 26, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
